avg_pattern_loss P 16
naive 0.849 3 sales_transactions
naive 0.899 6 sales_transactions
naive 0.91 9 sales_transactions
naive 0.924 12 sales_transactions
kapra 0.726 3 sales_transactions
kapra 0.73 6 sales_transactions
kapra 0.754 9 sales_transactions
kapra 0.761 12 sales_transactions
naive 0.671 3 facebook_palestine
naive 0.65 6 facebook_palestine
kapra 0.682 3 facebook_palestine
kapra 0.675 6 facebook_palestine
naive 0.615 3 facebook_microsoft
naive 0.652 6 facebook_microsoft
kapra 0.625 3 facebook_microsoft
kapra 0.618 6 facebook_microsoft
